CR_11.sam	CR_12.sam	CR_13.sam	LC_37.sam	LC_38.sam	LC_39.sam
rpl24	55189	55380	59796	43701	45217	39699
cep97	895	1257	1278	967	953	719
nfkbiz	1486	1834	1937	718	867	705
eed	1466	1732	2017	1290	1339	1090
hikeshi	1058	1114	1320	711	795	719
tmem39a	1794	2519	2721	1918	1868	1566
ildr1a	2328	2726	2991	1391	1223	896
LOC100332762	1089	1341	1179	724	745	534
gpa33a	4803	5441	6099	2813	2805	2097
f7l	407	400	396	273	324	244
f7	972	972	1025	655	760	667
f7i	1051	1075	1198	929	807	674
f10	1938	2113	2685	1838	1668	1731
prozb	231	262	315	168	137	144
pcid2	812	1014	1157	722	631	599
cul4a	3242	3622	3884	2628	2652	2218
lamp1a	3513	3901	4238	1918	1810	1417
grtp1a	1618	1767	2050	1508	1478	1151
adprhl1	246	267	301	197	210	176
dcun1d2b	1652	1798	1682	1222	1359	1110
tmco3	571	728	800	411	460	384
tfdp1b	901	1042	1210	836	869	692
grk1a	848	848	1055	905	813	716
cenpe	2589	2831	3364	2929	3028	2360
gas6	1920	2146	2346	1518	1463	1316
pros1	866	966	975	761	837	741
rasa3	2040	2346	2537	2074	2136	1735
tpp2	2603	3347	3503	2341	2343	1774
LOC100149425	326	257	401	239	267	211
mettl21e	419	473	452	419	411	359
ercc5	900	987	1188	704	612	567
blzf1	1580	1795	2020	1397	1301	1167
trmt10c	521	653	610	417	438	351
txnl4b	200	216	251	145	108	141
si:ch73-41e3.7	13	22	37	31	18	44
mrpl16	2463	2667	2793	2390	2276	1998
cenpq	131	194	174	113	167	120
LOC101885604	240	209	286	169	157	166
mrpl39	1981	2155	2262	1517	1518	1345
jam2a	403	556	509	485	440	334
atp5pf	6608	6647	7820	5765	5878	5222
appa	15147	18193	19860	13413	13311	11530
cyyr1	1357	1442	1759	1227	1113	1129
adamts1	1985	2302	2588	824	875	683
adamts5	483	537	533	489	346	356
n6amt1	461	607	598	386	436	356
gart	1605	2075	2273	1737	1981	1581
LOC100332351	739	769	822	431	425	407
donson	197	153	259	191	191	159
runx1	241	244	334	200	160	108
urp2	40	73	50	45	55	26
LOC100333907	546	617	611	408	375	312
atp1a1a.4	17434	19455	20601	13376	12863	11176
atp1a1a.1	30238	30938	32173	20750	21830	18691
atp1a1a.2	6411	6501	6572	3835	3742	3301
atp1a1a.3	2616	2446	2618	1494	1552	1313
atp1a1a.5	819	958	894	515	648	447
si:ch211-132g1.3	269	425	450	203	191	242
LOC103911757	129	134	164	109	107	76
si:ch211-132g1.4	0	3	4	2	2	0
si:ch211-132g1.1	15	11	10	13	17	1
ptgfrnb	162	182	207	175	192	139
slc5a3a	4	0	2	0	5	0
oxgr1a.1	8	2	4	0	4	1
oxgr1a.3	2	2	4	0	0	1
oxgr1a.2	0	0	2	0	1	1
mbnl2	3789	4017	4656	3121	3088	2831
rap2ab	155	202	259	179	227	145
kpnb3	8364	10178	10455	7219	7270	6049
farp1	4100	4488	5371	3764	3823	3465
si:ch211-235f1.3	5	4	5	1	3	6
ggact.3	136	142	106	94	107	103
ggact.2	495	440	500	425	352	370
ggact.1	132	142	155	124	137	81
gpc6a	267	333	298	242	189	175
gpc5a	651	723	791	331	288	250
slitrk6	1167	1100	1228	824	865	798
slitrk1	2633	2643	2825	2319	2116	1803
spry2	3011	3453	3872	2767	2718	2480
ndfip2	3389	3756	4000	2773	2723	2406
tuba8l2	13874	15303	16552	9082	8739	7471
stk16	691	711	680	515	470	485
mnx2b	254	152	251	113	149	119
atic	1903	2155	2233	2190	2612	1993
fn1b	47039	49884	55306	13714	13621	12625
cpo	427	557	529	607	440	381
nrp2a	4115	4138	4625	2671	2952	2448
pard3ba	1064	1038	1186	769	733	637
abcb6a	561	611	679	417	452	313
cnppd1	3702	3869	4358	2390	2272	1929
prkag3a	262	262	324	204	188	184
retreg2	1345	1533	1679	1036	987	832
mdh1b	67	36	61	47	48	36
fastkd2	783	742	746	563	664	511
gtf3c3	1081	1143	1357	931	844	758
hecw2b	1445	1775	1865	1248	1248	1083
klf7a	669	723	737	730	730	663
si:ch211-93g23.2	159	191	201	189	136	135
ube2f	1118	1036	1045	724	848	683
erbb4a	478	587	606	459	393	392
LOC108184914	1	1	6	2	6	1
si:ch73-383l1.1	331	287	365	192	226	180
lancl1	931	1045	1158	653	729	609
mylz3	257283	263515	282383	205976	215699	187089
pcnp	1553	1403	1592	1090	1096	962
mxa	23	15	11	16	4	16
mxb	16	13	19	9	9	11
efnb2b	284	373	417	268	203	158
arglu1b	2755	2884	3258	2716	2889	2394
en1b	595	570	746	466	436	416
radil	353	398	518	365	397	359
LOC137495400	131	108	75	64	74	63
ifi44a8	0	4	2	0	1	0
ifi44a7	0	2	0	0	0	0
ifi44a6	0	0	0	0	0	1
ifi44a5	34	31	27	10	12	18
LOC137495402	0	0	0	0	0	0
ifi44a3	1	1	3	0	1	0
LOC137487232	22	17	10	13	6	10
ifi44a1	2	12	2	0	6	0
si:dkeyp-9d4.3	3778	4501	4543	3628	3855	3330
slc5a10	1532	1481	1847	1198	1099	906
fam83gb	1408	1379	1686	1083	958	808
grapb	114	91	80	67	114	79
cacna1hb	227	181	231	154	136	111
syngr3b	1208	1204	1335	1103	1232	1113
myo15ab	148	116	138	82	41	73
alkbh5	1093	1276	1483	1011	1036	836
mief2	544	641	689	376	361	329
smcr8b	96	111	78	75	50	46
zgc:112980	321	369	404	225	369	23
ptcd1	593	670	647	507	514	359
slc29a4b	303	353	414	378	372	236
zgc:153118	19	26	10	5	17	12
LOC101883376	0	2	0	0	1	0
LOC103911895	0	0	0	0	0	2
fbxl18	314	449	420	273	339	283
actb1	138733	163351	178922	83893	89161	69935
fscn1b	828	995	1008	1040	1041	803
abcg2b	241	228	215	70	62	72
hapstr1b	593	468	723	418	729	1417
grin2ab	1046	1325	1212	898	871	882
socs1b	2	3	6	4	2	0
tlr2	10	20	16	20	4	4
prkcba	2231	2600	3164	1883	2117	1628
cacng3a	98	127	129	109	102	104
si:ch211-14k19.8	975	1019	1026	674	778	592
ndufab1a	1864	2109	2186	1738	1809	1441
palb2	223	233	213	158	208	178
rasd3	57	89	57	53	62	50
plk1	643	164	12	399	664	254
ern2	682	567	803	413	449	411
chtf18	426	443	529	324	383	333
gng13a	195	178	182	135	126	176
si:dkeyp-57d7.4	133	172	193	390	346	304
zgc:136472	508	497	568	341	335	336
ubn1	34	69	49	28	23	6
uncx4.1	723	705	776	634	614	530
micall2b	216	275	346	201	188	171
gaa2	1157	1375	1442	985	1063	785
elfn1b	4031	4019	4337	3651	3452	3054
ugt5b4	3490	3496	3758	3161	2949	2607
ugt5b3	2517	2547	2617	2149	2127	1808
ugt5b2	1236	1255	1347	985	1009	918
ugt5b1	691	740	789	578	613	563
mad1l1	657	688	808	578	468	442
pmm2	443	498	497	353	319	313
ints15	551	581	670	463	428	461
rgs11	451	540	550	512	475	417
pgap6	1500	1558	1666	927	1003	773
percc1	8	8	9	6	4	5
pdia2	3849	3417	3561	3124	2704	2663
si:dkeyp-75b4.8	39	43	37	19	12	9
ifi44b	0	0	7	0	0	0
eslec	10	2	4	6	10	0
trim2b	860	1009	1153	778	803	662
rnf175	1055	1121	1244	990	988	844
fgb	21024	18390	19896	5472	5687	4664
LOC100536670	59	40	59	22	47	24
fga	29592	25196	26372	6859	7218	6089
lratb.1	720	740	845	630	782	653
LOC137487234	154	157	205	149	175	137
lratb.2	68	45	65	63	37	59
rbm46	6	4	2	4	2	3
npy2rl	162	182	237	132	137	114
eif3f	8568	9234	9849	6874	6491	5649
zgc:77880	308	323	342	310	272	284
pip4p1b	135	216	163	81	141	64
LOC557811	24	16	25	25	12	29
dachb	267	174	136	88	205	75
cnpy3	317	329	177	35	29	133
trpc5a	86	135	104	88	75	75
zgc:174945	4	1	4	0	2	0
si:dkey-31e10.1	7	9	17	4	4	6
si:dkey-31e10.5	22	30	33	8	10	14
si:dkey-31e10.6p	254	268	311	188	241	190
mpc2a	1767	1627	1714	1290	1356	1178
atp1b1b	6502	5799	6356	4427	4060	3655
LOC100334711	298	322	409	355	303	307
cfap221	37	74	57	23	18	19
crfb15	53	30	57	36	15	15
dmd	4393	5093	5190	3613	3808	3143
