,logFC,AveExpr,t,P.Value,adj.P.Val,B
si:dkey-183i3.5,1.627875902,9.862318402,41.27469608,9.20E-11,1.64E-06,15.28593601
fn1b,-1.457590762,9.29983955,-38.80180108,1.52E-10,1.64E-06,14.81018497
cry1a,2.368407971,5.356511249,35.62957938,3.03E-10,1.89E-06,13.18120423
zgc:136930,1.310377509,9.604241281,34.2727261,4.16E-10,1.89E-06,13.97535487
per2,3.302039064,5.264099224,34.0513367,4.38E-10,1.89E-06,12.63992042
lonrf1,2.244204244,4.558608595,30.21291204,1.15E-09,4.15E-06,11.76873113
ccr9a,1.015507331,10.04221797,28.77421024,1.71E-09,5.28E-06,12.68622732
hsp90aa1.2,-1.454103374,7.625243561,-27.47065203,2.49E-09,6.72E-06,12.23043933
nr1d1,1.632830078,4.812478387,26.59924362,3.23E-09,7.75E-06,11.37066636
mvp,-1.084034652,8.497961287,-25.1365991,5.10E-09,1.10E-05,11.60383887
col7a1,1.658694118,5.402349555,24.47287273,6.33E-09,1.18E-05,11.0895027
opn1sw1,1.168199857,10.64630638,24.35754226,6.57E-09,1.18E-05,11.37149345
hsp70.3,-3.213462577,5.790705491,-23.96193562,7.50E-09,1.25E-05,10.79636734
si:ch211-183d21.1,-1.734874862,5.574457569,-23.50763564,8.75E-09,1.35E-05,10.7925291
zgc:86896,0.983444147,7.128265963,23.0463207,1.03E-08,1.48E-05,10.89749312
igfbp1a,-1.399512128,5.093796209,-22.61823322,1.19E-08,1.61E-05,10.41501086
zgc:193505,2.89618801,3.643232894,22.34868721,1.31E-08,1.62E-05,9.26625459
kera,2.284889014,3.79650752,22.27276026,1.35E-08,1.62E-05,9.570501685
si:ch211-153b23.5,-1.779211824,5.931548332,-21.32691965,1.91E-08,2.14E-05,10.18661676
krt1-19e,1.390610079,10.86265851,21.2320364,1.98E-08,2.14E-05,10.24368864
desma,-0.797758344,8.559431255,-20.96181472,2.20E-08,2.26E-05,10.16834194
hmox1a,-2.499985417,4.907172098,-20.34989281,2.79E-08,2.64E-05,9.506515156
thbs1a,-1.380617416,6.143017735,-20.2245188,2.93E-08,2.64E-05,9.834452714
socs3a,-2.249751047,3.812761187,-20.21079792,2.95E-08,2.64E-05,8.82996697
hsp70.2,-2.642449563,5.619027292,-20.11328149,3.06E-08,2.64E-05,9.648630411
and3,1.144021548,6.585391264,18.79585236,5.27E-08,4.12E-05,9.298674429
